Dimension,FunctionID,Run,Algorithm,BestSolution,BestFitness
2,1,7,PSO,"[1.6301706498916249e-12, 3.530873401046839e-12]",1.0999645638776201e-11
2,1,8,DE/rand/1/bin,"[3.029001037460094e-16, -2.389644289052284e-16]",4.440892098500626e-16
2,1,8,DE/best/1/bin,"[4.1437599072409515e-05, -3.6447428904428506e-05]",0.00015617055001415636
2,1,8,PSO,"[-1.5110199057920044e-12, 5.036945425227545e-12]",7.624567643915725e-12
2,1,9,DE/rand/1/bin,"[-4.282642177331948e-17, -9.767264218448747e-17]",4.440892098500626e-16
2,1,9,DE/best/1/bin,"[-100.0, 100.0]",19.99999995877693
2,1,9,PSO,"[-100.0, -100.0]",19.99999995877693
2,1,10,DE/rand/1/bin,"[-3.82690466648832e-16, 3.037304887710725e-17]",4.440892098500626e-16
2,1,10,DE/best/1/bin,"[-0.00826249894166597, -0.014315167391221881]",0.0540105395771282
2,1,10,PSO,"[5.4816244156613325e-11, -1.0563727010154417e-09]",5.977840444870708e-11
2,1,11,DE/rand/1/bin,"[-2.387312308144774e-17, 3.1397694461726587e-16]",4.440892098500626e-16
2,1,11,DE/best/1/bin,"[2.1330371327028476e-12, 1.4838478012653165e-10]",4.1973935438477383e-10
2,1,11,PSO,"[-100.0, -100.0]",19.99999995877693
2,1,12,DE/rand/1/bin,"[-100.0, -100.0]",19.99999995877693
2,1,12,DE/best/1/bin,"[100.0, 49.99999999641835]",19.99999728211357
2,1,12,PSO,"[1.4782892692381677e-10, -9.459481939324363e-10]",3.990696662015125e-10
2,1,13,DE/rand/1/bin,"[-3.3765979470608885e-16, 1.4683914010914255e-16]",4.440892098500626e-16
2,1,13,DE/best/1/bin,"[100.0, 59.999916337106015]",19.99999881227206
2,1,13,PSO,"[100.0, -100.0]",19.99999995877693
2,1,14,DE/rand/1/bin,"[2.0370556492400565e-16, -4.4234576335473333e-17]",4.440892098500626e-16
2,1,14,DE/best/1/bin,"[-1.0041961179412415, 2.9711723134092565]",7.187368596639402
2,1,14,PSO,"[-100.0, -100.0]",19.99999995877693
2,1,15,DE/rand/1/bin,"[-28.0, 4.0]",19.633687222225316
2,1,15,DE/best/1/bin,"[-3.3972335511302383e-11, 4.918101385886675e-12]",9.708900350346994e-11
2,1,15,PSO,"[-3.2428803540532337e-12, -9.801025538335486e-15]",2.9887203822909214e-13
2,1,16,DE/rand/1/bin,"[6.820950369779808e-17, -3.0213752877635985e-16]",4.440892098500626e-16
2,1,16,DE/best/1/bin,"[3.9788585590624905e-12, 2.7031803116410214e-12]",1.3603784765336968e-11
